id,age,gender,math,science,english,sports,music,Total Marks,Percentage,GradeClass,StudyHours
1,20,female,91,63,43,No,Yes,197,65.66666667,D,11
2,21,female,84,70,57,Yes,Yes,211,70.33333333,C,8
3,19,female,71,61,63,No,No,195,65,D,15
4,21,female,60,68,93,No,Yes,221,73.66666667,C,12
5,21,female,80,45,75,No,Yes,200,66.66666667,D,9
6,18,male,76,,51,Yes,Yes,127,42.33333333,F,11
7,19,female,83,72,74,No,Yes,229,76.33333333,C,14
8,19,male,80,61,48,No,Yes,189,63,D,7
9,19,female,86,81,82,Yes,Yes,249,83,B,11
10,21,male,62,85,62,Yes,No,209,69.66666667,D,15
11,20,female,15,20,18,No,Yes,53,17.66666667,F,15
12,19,male,73,61,85,Yes,Yes,219,73,C,12
13,21,female,101,61,51,No,Yes,213,71,C,9
14,18,male,,59,50,Yes,Yes,109,36.33333333,F,8
15,20,female,96,84,60,Yes,No,240,80,B,12
16,18,male,,,81,No,No,81,27,F,12
17,20,female,60,68,48,No,Yes,176,58.66666667,E,7
18,21,male,63,44,,No,Yes,107,35.66666667,F,10
19,17,male,65,81,62,Yes,Yes,208,69.33333333,D,9
20,20,female,76,55,75,No,No,206,68.66666667,D,6
21,18,female,78,73,84,No,No,235,78.33333333,C,12
22,21,male,61,76,62,No,No,199,66.33333333,D,10
23,20,female,70,91,63,No,No,224,74.66666667,C,6
24,17,male,102,54,83,No,Yes,239,79.66666667,C,9
25,17,male,110,105,44,Yes,No,259,86.33333333,B,5
26,19,male,77,75,63,No,No,215,71.66666667,C,14
27,19,female,110,105,70,No,Yes,285,95,A,10
28,18,male,72,89,74,Yes,Yes,235,78.33333333,C,13
29,20,male,79,75,61,No,No,215,71.66666667,C,5
30,20,female,55,65,68,No,No,188,62.66666667,D,15
31,19,female,66,83,36,No,No,185,61.66666667,D,15
32,20,female,45,58,59,No,No,162,54,E,14
33,20,female,76,79,74,No,Yes,229,76.33333333,C,7
34,17,male,,79,55,Yes,Yes,134,44.66666667,F,11
35,19,male,63,87,69,Yes,No,219,73,C,8
36,21,male,94,111,74,Yes,No,279,93,A,13
37,19,male,52,77,64,No,No,193,64.33333333,D,7
38,21,female,48,65,70,Yes,No,183,61,D,9
39,17,male,73,72,55,No,No,200,66.66666667,D,7
40,18,male,86,47,65,No,Yes,198,66,D,11
41,20,female,95,62,,No,Yes,157,52.33333333,E,9
42,17,male,63,66,70,Yes,Yes,199,66.33333333,D,13
43,20,male,86,65,60,Yes,No,211,70.33333333,C,11
44,18,male,69,74,71,Yes,No,214,71.33333333,C,6
45,18,male,,60,77,No,Yes,137,45.66666667,F,8
46,17,male,,88,41,Yes,Yes,129,43,F,13
47,18,male,80,72,83,No,No,235,78.33333333,C,6
48,21,female,46,72,64,Yes,Yes,182,60.66666667,D,14
49,18,female,92,67,74,Yes,No,233,77.66666667,C,13
50,20,male,91,74,84,No,No,249,83,B,14
51,20,male,61,84,50,No,Yes,195,65,D,9
52,20,female,76,60,59,Yes,Yes,195,65,D,6
53,20,male,77,63,64,Yes,Yes,204,68,D,8
54,21,male,74,68,58,Yes,No,200,66.66666667,D,11
55,19,male,62,53,91,No,No,206,68.66666667,D,12
56,17,female,60,61,57,No,Yes,178,59.33333333,E,7
57,20,male,70,65,61,Yes,No,196,65.33333333,D,5
58,18,female,,84,71,Yes,No,155,51.66666667,E,8
59,20,male,78,76,,No,No,154,51.33333333,E,6
60,18,female,64,75,63,Yes,Yes,202,67.33333333,D,12
61,18,female,82,84,72,No,No,238,79.33333333,C,8
62,20,male,27,70,64,No,Yes,161,53.66666667,E,6
63,21,female,87,77,67,No,Yes,231,77,C,10
64,18,male,44,71,,No,No,115,38.33333333,F,10
65,18,female,,76,48,No,Yes,124,41.33333333,F,14
66,20,male,53,64,72,No,No,189,63,D,8
67,18,male,51,38,91,Yes,Yes,180,60,D,10
68,18,female,87,70,68,No,Yes,225,75,C,6
69,20,male,63,92,71,No,No,226,75.33333333,C,14
70,20,male,75,,77,,Yes,152,50.66666667,E,6
71,17,female,69,86,51,No,Yes,206,68.66666667,D,14
72,21,male,77,89,90,Yes,Yes,256,85.33333333,B,8
73,21,male,71,73,71,No,No,215,71.66666667,C,12
74,18,female,51,75,89,Yes,No,215,71.66666667,C,11
75,21,female,85,63,,Yes,Yes,148,49.33333333,F,13
